UG Tombamento;Unidade Gestora;Unidade Responsável;Tombamento;Data Tombamento;Data Garantia;Código Material;Denominação;Observação;Descritores;Marca;Estado;Status;Detentor;Lotação Dententor;Finalidade;Fornecedor;Depreciável/Amortizável;Vida Útil;Nota Fiscal;Empenho;Termo;Valor
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;2019003959;08/01/2019;08/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 5280 - MARCA GREE - TIPOLOGIA DE JANELA - (ACJ) - 18000 BTU/H;;"Andar: TÉRREO
BTU: 18000
Edificação: FAZENDA OLIVEIRA DOS CAMPINHOS
Local: NÃO INFORMADO
Marca: GREE
Modelo: GWC18MC-D1NNA3E/L
Número do Tombo: 749252
Registro Geral: 5280
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 220V§";GREE;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;3959/2019;R$ 63,47
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;2019004276;08/01/2019;08/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 5918 - MARCA STARCOOL - TIPOLOGIA SPLIT HI-WALL - (SPH) - 9000 BTU/H;;"Andar: TÉRREO
BTU: 9000
Edificação: FAZENDA EXPERIMENTAL DE ENTRE RIOS
Local: ALOJAMENTO DOS PROFESSORES
Marca: STARCOOL
Registro Geral: 5918
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";STARCOOL;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4276/2019;R$ 63,47
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;77333827;25/10/2023;25/10/2023;"5212000000436	";APARELHO DE AR CONDICIONADO - Registro Geral 6503 - MARCA AGRATTO - TIPOLOGIA SPLIT HI-WALL (SPH) - 9000 BTU/H;;"Andar: TERREO
BTU: 9000
Edificação: PRINCIPAL
Local: CDP- EMEVZ / DIVISÃO ADM
Marca: AGRATTO
Modelo: ECO ECST 9FIR4
Número do Tombo: 1005887
Registro Geral: 6503
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL (SPH)
Voltagem: 220§";AGRATTO;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Sim;120;;;340/2023;R$ 99,99
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004670;29/01/2019;29/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 1947 - MARCA YORK - TIPOLOGIA SPLIT HI-WALL  (SPH) - 12000 BTU/H;;"Andar: TÉRREO
BTU: 12000
Edificação: PRÉDIO PRINCIPAL
Local: SALA DO RACK
Marca: YORK
Modelo: -
Registro Geral: 1947
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL  (SPH)
Voltagem: 220V§";YORK;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4670/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004671;29/01/2019;29/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 1950 - MARCA GREE - TIPOLOGIA DE JANELA  (ACJ) - 10000 BTU/H;;"Andar: TÉRREO
BTU: 10000
Edificação: PRÉDIO PRINCIPAL
Local: ANTE-SALA AUDITÓRIO MILTON SANTOS
Marca: GREE
Modelo: -
Registro Geral: 1950
Situação do Equipamento: ATIVO
Tipologia: DE JANELA  (ACJ)
Voltagem: 220V§";GREE;Em uso;EFETIVADO;;;ENSINO;Não informado;Não;120;;;4671/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004633;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3394 - MARCA WESTINGHOUSE - TIPOLOGIA SPLIT HI-WALL - (SPH) - 24 BTU/H;;"Andar: TÉRREO
BTU: 24
Edificação: PRINCIPAL
Local: SECRETARIA
Marca: WESTINGHOUSE
Modelo: WINXL-24KNW3(B)
Registro Geral: 3394
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";WESTINGHOUSE;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4633/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004634;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3395 - MARCA MIDEA - TIPOLOGIA SPLIT P-TETO - (SPP) - OUTROS BTU/H;;"Andar: TÉRREO
BTU: OUTROS
Edificação: PRINCIPAL
Local: AUDITÓRIO MILTON SANTOS
Marca: MIDEA
Modelo: 42MPCA48M5
Registro Geral: 3395
Situação do Equipamento: ATIVO
Tipologia: SPLIT P-TETO - (SPP)
Voltagem: 220V§";MIDEA;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4634/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004635;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3396 - MARCA GREE - TIPOLOGIA DE JANELA - (ACJ) - OUTROS BTU/H;;"Andar: TÉRREO
BTU: OUTROS
Edificação: PRINCIPAL
Local: SALA DO PROFESSOR JEFERSON
Marca: GREE
Modelo: GJ1012LM
Registro Geral: 3396
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 110V§";GREE;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4635/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004636;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3397 - MARCA YORK - TIPOLOGIA SPLIT HI-WALL - (SPH) - OUTROS BTU/H;;"Andar: 1º ANDAR
BTU: OUTROS
Edificação: PRINCIPAL
Local: SALA DE AULA PÓS-AFRO
Marca: YORK
Modelo: YJEA18FS-AD
Registro Geral: 3397
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";YORK;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4636/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004637;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3398 - MARCA GREE - TIPOLOGIA DE JANELA - (ACJ) - OUTROS BTU/H;;"Andar: 1º ANDAR
BTU: OUTROS
Edificação: PRINCIPAL
Local: SALA DE AULA PÓS-AFRO
Marca: GREE
Modelo: GJ10-22LM/B
Registro Geral: 3398
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 220V§";GREE;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4637/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004638;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3399 - MARCA SPRINGER - TIPOLOGIA DE JANELA - (ACJ) - 18 BTU/H;;"Andar: 1º ANDAR
BTU: 18
Edificação: PRINCIPAL
Local: SALA DE EXPOSIÇÃO
Marca: SPRINGER
Registro Geral: 3399
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 220V§";SPRINGER;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4638/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004639;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3400 - MARCA GREE - TIPOLOGIA DE JANELA - (ACJ) - OUTROS BTU/H;;"Andar: 2º ANDAR
BTU: OUTROS
Edificação: PRINCIPAL
Local: SALA DE COORDENAÇÃO DO CEAO
Marca: GREE
Modelo: GJ10-22LMIB
Registro Geral: 3400
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 220V§";GREE;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4639/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004640;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3401 - MARCA ELETROLUX - TIPOLOGIA DE JANELA - (ACJ) - OUTROS BTU/H;;"Andar: 2º ANDAR
BTU: OUTROS
Edificação: PRINCIPAL
Local: SALA DOS PROFESSORES DA  PÓS-AFRO
Marca: ELETROLUX
Modelo: EAM10F
Registro Geral: 3401
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 110V§";ELETROLUX;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4640/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004641;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3402 - MARCA CONSUL - TIPOLOGIA SPLIT HI-WALL - (SPH) - OUTROS BTU/H;;"Andar: TÉRREO
BTU: OUTROS
Edificação: PRINCIPAL
Local: SALA NA BIBLIOTECA
Marca: CONSUL
Modelo: CB107066
Número do Tombo: 494566
Registro Geral: 3402
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";CONSUL;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4641/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004642;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3403 - MARCA GREE - TIPOLOGIA SPLIT-CASSETE - (SPC) - OUTROS BTU/H;;"Andar: 1º ANDAR
BTU: OUTROS
Edificação: PRINCIPAL
Local: AUDITÓRIO AGOSTINHO SILVA
Marca: GREE
Registro Geral: 3403
Situação do Equipamento: INATIVO
Tipologia: SPLIT-CASSETE - (SPC)
Voltagem: OUTROS§";GREE;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4642/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004643;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3404 - MARCA MIDEA - TIPOLOGIA SPLIT HI-WALL - (SPH) - OUTROS BTU/H;;"Andar: 1º ANDAR
BTU: OUTROS
Edificação: PRINCIPAL
Local: AUDITÓRIO AGOSTINHO SILVA
Marca: MIDEA
Modelo: MSS22R
Registro Geral: 3404
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";MIDEA;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4643/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004644;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3405 - MARCA MIDEA - TIPOLOGIA SPLIT HI-WALL - (SPH) - 12 BTU/H;;"Andar: 2º ANDAR
BTU: 12
Edificação: PRINCIPAL
Local: MUSEU DIGITAL
Marca: MIDEA
Modelo: 42MLCC12M5
Registro Geral: 3405
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";MIDEA;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4644/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004645;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3406 - MARCA LG - TIPOLOGIA SPLIT HI-WALL - (SPH) - 9 BTU/H;;"Andar: 2º ANDAR
BTU: 9
Edificação: PRINCIPAL
Local: SALA DO ANTIGO COORDENADOR
Marca: LG
Modelo: TSNC092JBAO
Registro Geral: 3406
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";LG;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4645/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004646;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3407 - MARCA LG - TIPOLOGIA SPLIT HI-WALL - (SPH) - OUTROS BTU/H;;"Andar: 2º ANDAR
BTU: OUTROS
Edificação: PRINCIPAL
Local: SALA DO ANTIGO COORDENADOR
Marca: LG
Registro Geral: 3407
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";LG;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4646/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;2019004647;24/01/2019;24/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3408 - MARCA LG - TIPOLOGIA SPLIT HI-WALL - (SPH) - 9 BTU/H;;"Andar: 2º ANDAR
BTU: 9
Edificação: PRINCIPAL
Local: SALA DO ANTIGO COORDENADOR
Marca: LG
Modelo: TSNC092JBAO
Registro Geral: 3408
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";LG;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4647/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;77333758;31/08/2023;31/08/2023;"5212000000436	";APARELHO DE AR CONDICIONADO - Registro Geral 6439 - MARCA AGRATTO - TIPOLOGIA SPLIT HI-WALL( SPH) - 9000 BTU/H;;"Andar: TERREO
BTU: 9000
Edificação: PRINCIPAL
Local: SALA DE RACK
Marca: AGRATTO
Modelo: ICS9FR4-02
Número do Tombo: 1014666
Registro Geral: 6439
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL( SPH)
Voltagem: 220§";AGRATTO;Em uso;EFETIVADO;;;APOIO;Não informado;Sim;120;;;250/2023;R$ 99,99
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;77334466;18/10/2024;18/10/2024;"5212000000133	";APARELHO DE AR CONDICIONADO - Registro Geral 7070 - MARCA AGRATTO - TIPOLOGIA SPLIT HI-WALL (SPH) - 12.000 BTU/H;;"Andar: TERREO
BTU: 12.000
Edificação: PRINCIPAL
Local: SALA DA HUB. SALA ANEXA AO AUD MILTON SANTOS
Marca: AGRATTO
Modelo: NÃO INFORMADO
Número do Tombo: NÃO INFOR
Registro Geral: 7070
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL (SPH)
Voltagem: 220§";AGRATTO;Em uso;EFETIVADO;;;APOIO;Não informado;Sim;120;;;387/2024;R$ 99,99
UFBA;UFBA;CENTRO DE ESTUDOS AFRO-ORIENTAIS/FFCH;77334467;18/10/2024;18/10/2024;"5212000000133	";APARELHO DE AR CONDICIONADO - Registro Geral 7071 - MARCA AGRATTO - TIPOLOGIA SPLIT HI-WALL (SPH) - 12.000 BTU/H;;"Andar: TERREO
BTU: 12.000
Edificação: PRINCIPAL
Local: SALA DA SECRETARIA
Marca: AGRATTO
Modelo: NÃO INFORMADO
Número do Tombo: NÃO  INFOR
Registro Geral: 7071
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL (SPH)
Voltagem: 220§";AGRATTO;Em uso;EFETIVADO;;;APOIO;Não informado;Sim;120;;;388/2024;R$ 99,99
UFBA;UFBA;CENTRO DE ESTUDOS E TERAPIA DE ABUSO DE DROGAS/FMB;2019004437;21/01/2019;21/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3242 - MARCA ELGIN - TIPOLOGIA SPLIT HI-WALL - (SPH) - 18 BTU/H;;"Andar: 1º ANDAR
BTU: 18
Edificação: PRÉDIO PRINCIPAL
Local: RECEPÇÃO
Marca: ELGIN
Modelo: HWF118B21A
Número do Tombo: 919204
Registro Geral: 3242
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4437/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS E TERAPIA DE ABUSO DE DROGAS/FMB;2019004438;21/01/2019;21/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3243 - MARCA KOMECO - TIPOLOGIA SPLIT HI-WALL - (SPH) - 18 BTU/H;;"Andar: 1º ANDAR
BTU: 18
Edificação: PRÉDIO PRINCIPAL
Local: SALA DE ADMINISTRAÇÃO
Marca: KOMECO
Modelo: KOS18FC3HX
Registro Geral: 3243
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";KOMECO;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4438/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS E TERAPIA DE ABUSO DE DROGAS/FMB;2019004439;21/01/2019;21/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3244 - MARCA KOMECO - TIPOLOGIA SPLIT HI-WALL - (SPH) - 12 BTU/H;;"Andar: 1º ANDAR
BTU: 12
Edificação: PRINCIPAL
Local: SALA DE ADMINISTRAÇÃO
Marca: KOMECO
Modelo: KOS12FC3HX
Registro Geral: 3244
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";KOMECO;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4439/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS E TERAPIA DE ABUSO DE DROGAS/FMB;2019004440;21/01/2019;21/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3245 - MARCA ELGIN - TIPOLOGIA SPLIT HI-WALL - (SPH) - 18 BTU/H;;"Andar: 1º ANDAR
BTU: 18
Edificação: PRINCIPAL
Local: SALA DE ADMINISTRAÇÃO
Marca: ELGIN
Modelo: 45HWF
Número do Tombo: 919205
Registro Geral: 3245
Situação do Equipamento: A INSTALAR (NA CAIXA)
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4440/2019;R$ 63,47
UFBA;UFBA;CENTRO DE ESTUDOS E TERAPIA DE ABUSO DE DROGAS/FMB;2019004441;21/01/2019;21/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 3246 - MARCA ELGIN - TIPOLOGIA SPLIT HI-WALL - (SPH) - 18 BTU/H;;"Andar: 1º ANDAR
BTU: 18
Edificação: PRINCIPAL
Local: ADMINISTRAÇÃO
Marca: ELGIN
Modelo: 45HWF/18B2/A
Número do Tombo: 919202
Registro Geral: 3246
Situação do Equipamento: A INSTALAR (NA CAIXA)
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;4441/2019;R$ 63,47
